2023-07-04 05:54:24 configure libbrotli1:arm64 1.0.9-2+b6 <none>
2023-07-04 05:54:24 status unpacked libbrotli1:arm64 1.0.9-2+b6
2023-07-04 05:54:24 status half-configured libbrotli1:arm64 1.0.9-2+b6
2023-07-04 05:54:24 status installed libbrotli1:arm64 1.0.9-2+b6
2023-07-04 05:54:24 configure libsqlite3-0:arm64 3.40.1-2 <none>
2023-07-04 05:54:24 status unpacked libsqlite3-0:arm64 3.40.1-2
2023-07-04 05:54:24 status half-configured libsqlite3-0:arm64 3.40.1-2
2023-07-04 05:54:24 status installed libsqlite3-0:arm64 3.40.1-2
2023-07-04 05:54:24 configure libssl3:arm64 3.0.9-1 <none>
2023-07-04 05:54:24 status unpacked libssl3:arm64 3.0.9-1
2023-07-04 05:54:24 status half-configured libssl3:arm64 3.0.9-1
2023-07-04 05:54:24 status installed libssl3:arm64 3.0.9-1
2023-07-04 05:54:24 configure libnghttp2-14:arm64 1.52.0-1 <none>
2023-07-04 05:54:24 status unpacked libnghttp2-14:arm64 1.52.0-1
2023-07-04 05:54:24 status half-configured libnghttp2-14:arm64 1.52.0-1
2023-07-04 05:54:24 status installed libnghttp2-14:arm64 1.52.0-1
2023-07-04 05:54:24 configure libnpth0:arm64 1.6-3 <none>
2023-07-04 05:54:24 status unpacked libnpth0:arm64 1.6-3
2023-07-04 05:54:24 status half-configured libnpth0:arm64 1.6-3
2023-07-04 05:54:24 status installed libnpth0:arm64 1.6-3
2023-07-04 05:54:24 configure sq:arm64 0.27.0-2+b1 <none>
2023-07-04 05:54:24 status unpacked sq:arm64 0.27.0-2+b1
2023-07-04 05:54:24 status half-configured sq:arm64 0.27.0-2+b1
2023-07-04 05:54:24 status installed sq:arm64 0.27.0-2+b1
2023-07-04 05:54:24 configure libassuan0:arm64 2.5.5-5 <none>
2023-07-04 05:54:24 status unpacked libassuan0:arm64 2.5.5-5
2023-07-04 05:54:24 status half-configured libassuan0:arm64 2.5.5-5
2023-07-04 05:54:24 status installed libassuan0:arm64 2.5.5-5
2023-07-04 05:54:24 configure libkrb5support0:arm64 1.20.1-2 <none>
2023-07-04 05:54:24 status unpacked libkrb5support0:arm64 1.20.1-2
2023-07-04 05:54:24 status half-configured libkrb5support0:arm64 1.20.1-2
2023-07-04 05:54:24 status installed libkrb5support0:arm64 1.20.1-2
2023-07-04 05:54:24 configure libsasl2-modules-db:arm64 2.1.28+dfsg-10 <none>
2023-07-04 05:54:24 status unpacked libsasl2-modules-db:arm64 2.1.28+dfsg-10
2023-07-04 05:54:24 status half-configured libsasl2-modules-db:arm64 2.1.28+dfsg-10
2023-07-04 05:54:24 status installed libsasl2-modules-db:arm64 2.1.28+dfsg-10
2023-07-04 05:54:24 configure gnupg-l10n:all 2.2.40-1.1 <none>
2023-07-04 05:54:24 status unpacked gnupg-l10n:all 2.2.40-1.1
2023-07-04 05:54:24 status half-configured gnupg-l10n:all 2.2.40-1.1
2023-07-04 05:54:24 status installed gnupg-l10n:all 2.2.40-1.1
2023-07-04 05:54:24 configure librtmp1:arm64 2.4+20151223.gitfa8646d.1-2+b2 <none>
2023-07-04 05:54:24 status unpacked librtmp1:arm64 2.4+20151223.gitfa8646d.1-2+b2
2023-07-04 05:54:24 status half-configured librtmp1:arm64 2.4+20151223.gitfa8646d.1-2+b2
2023-07-04 05:54:24 status installed librtmp1:arm64 2.4+20151223.gitfa8646d.1-2+b2
2023-07-04 05:54:24 configure libncursesw6:arm64 6.4-4 <none>
2023-07-04 05:54:24 status unpacked libncursesw6:arm64 6.4-4
2023-07-04 05:54:24 status half-configured libncursesw6:arm64 6.4-4
2023-07-04 05:54:24 status installed libncursesw6:arm64 6.4-4
2023-07-04 05:54:24 configure libk5crypto3:arm64 1.20.1-2 <none>
2023-07-04 05:54:24 status unpacked libk5crypto3:arm64 1.20.1-2
2023-07-04 05:54:24 status half-configured libk5crypto3:arm64 1.20.1-2
2023-07-04 05:54:24 status installed libk5crypto3:arm64 1.20.1-2
2023-07-04 05:54:24 configure libsasl2-2:arm64 2.1.28+dfsg-10 <none>
2023-07-04 05:54:24 status unpacked libsasl2-2:arm64 2.1.28+dfsg-10
2023-07-04 05:54:24 status half-configured libsasl2-2:arm64 2.1.28+dfsg-10
2023-07-04 05:54:24 status installed libsasl2-2:arm64 2.1.28+dfsg-10
2023-07-04 05:54:24 configure libssh2-1:arm64 1.10.0-3+b1 <none>
2023-07-04 05:54:24 status unpacked libssh2-1:arm64 1.10.0-3+b1
2023-07-04 05:54:24 status half-configured libssh2-1:arm64 1.10.0-3+b1
2023-07-04 05:54:24 status installed libssh2-1:arm64 1.10.0-3+b1
2023-07-04 05:54:24 configure netbase:all 6.4 <none>
2023-07-04 05:54:24 status unpacked netbase:all 6.4
2023-07-04 05:54:24 status half-configured netbase:all 6.4
2023-07-04 05:54:24 status installed netbase:all 6.4
2023-07-04 05:54:24 configure libkrb5-3:arm64 1.20.1-2 <none>
2023-07-04 05:54:24 status unpacked libkrb5-3:arm64 1.20.1-2
2023-07-04 05:54:24 status half-configured libkrb5-3:arm64 1.20.1-2
2023-07-04 05:54:24 status installed libkrb5-3:arm64 1.20.1-2
2023-07-04 05:54:24 configure openssl:arm64 3.0.9-1 <none>
2023-07-04 05:54:24 status unpacked openssl:arm64 3.0.9-1
2023-07-04 05:54:24 status half-configured openssl:arm64 3.0.9-1
2023-07-04 05:54:24 status installed openssl:arm64 3.0.9-1
2023-07-04 05:54:24 configure readline-common:all 8.2-1.3 <none>
2023-07-04 05:54:24 status unpacked readline-common:all 8.2-1.3
2023-07-04 05:54:24 status half-configured readline-common:all 8.2-1.3
2023-07-04 05:54:24 status installed readline-common:all 8.2-1.3
2023-07-04 05:54:24 configure pinentry-curses:arm64 1.2.1-1 <none>
2023-07-04 05:54:24 status unpacked pinentry-curses:arm64 1.2.1-1
2023-07-04 05:54:24 status half-configured pinentry-curses:arm64 1.2.1-1
2023-07-04 05:54:24 status installed pinentry-curses:arm64 1.2.1-1
2023-07-04 05:54:24 configure libreadline8:arm64 8.2-1.3 <none>
2023-07-04 05:54:24 status unpacked libreadline8:arm64 8.2-1.3
2023-07-04 05:54:24 status half-configured libreadline8:arm64 8.2-1.3
2023-07-04 05:54:24 status installed libreadline8:arm64 8.2-1.3
2023-07-04 05:54:24 configure libldap-2.5-0:arm64 2.5.13+dfsg-5 <none>
2023-07-04 05:54:24 status unpacked libldap-2.5-0:arm64 2.5.13+dfsg-5
2023-07-04 05:54:24 status half-configured libldap-2.5-0:arm64 2.5.13+dfsg-5
2023-07-04 05:54:24 status installed libldap-2.5-0:arm64 2.5.13+dfsg-5
2023-07-04 05:54:24 configure ca-certificates:all 20230311 <none>
2023-07-04 05:54:24 status unpacked ca-certificates:all 20230311
2023-07-04 05:54:24 status half-configured ca-certificates:all 20230311
2023-07-04 05:54:25 status installed ca-certificates:all 20230311
2023-07-04 05:54:25 status triggers-pending ca-certificates:all 20230311
2023-07-04 05:54:25 configure libgssapi-krb5-2:arm64 1.20.1-2 <none>
2023-07-04 05:54:25 status unpacked libgssapi-krb5-2:arm64 1.20.1-2
2023-07-04 05:54:25 status half-configured libgssapi-krb5-2:arm64 1.20.1-2
2023-07-04 05:54:25 status installed libgssapi-krb5-2:arm64 1.20.1-2
2023-07-04 05:54:25 configure gpgconf:arm64 2.2.40-1.1 <none>
2023-07-04 05:54:25 status unpacked gpgconf:arm64 2.2.40-1.1
2023-07-04 05:54:25 status half-configured gpgconf:arm64 2.2.40-1.1
2023-07-04 05:54:25 status installed gpgconf:arm64 2.2.40-1.1
2023-07-04 05:54:25 configure libcurl4:arm64 7.88.1-10 <none>
2023-07-04 05:54:25 status unpacked libcurl4:arm64 7.88.1-10
2023-07-04 05:54:25 status half-configured libcurl4:arm64 7.88.1-10
2023-07-04 05:54:25 status installed libcurl4:arm64 7.88.1-10
2023-07-04 05:54:25 configure curl:arm64 7.88.1-10 <none>
2023-07-04 05:54:25 status unpacked curl:arm64 7.88.1-10
2023-07-04 05:54:25 status half-configured curl:arm64 7.88.1-10
2023-07-04 05:54:25 status installed curl:arm64 7.88.1-10
2023-07-04 05:54:25 configure gpg:arm64 2.2.40-1.1 <none>
2023-07-04 05:54:25 status unpacked gpg:arm64 2.2.40-1.1
2023-07-04 05:54:25 status half-configured gpg:arm64 2.2.40-1.1
2023-07-04 05:54:25 status installed gpg:arm64 2.2.40-1.1
2023-07-04 05:54:25 configure gnupg-utils:arm64 2.2.40-1.1 <none>
2023-07-04 05:54:25 status unpacked gnupg-utils:arm64 2.2.40-1.1
